product_name,category,mrp,manufacturer,manufacturing_date,expiry_date,net_quantity,customer_care,importer,country_of_origin,fssai_license,label_status,compliance,missing_fields,risk_level,compliance_score
Aachi Chilli Powder,Food,50,Aachi Masala Foods Pvt Ltd,2025-01,2027-01,100g,1800-599-8000,N/A,India,10020071000645,Valid,1,,Low,100
Tata Salt,Food,28,Tata Chemicals Ltd,2025-03,2027-03,1kg,1800-209-8080,N/A,India,10014011002040,Valid,1,,Low,100
Fortune Sunlite Oil,Food,180,Adani Wilmar Ltd,2025-02,2026-08,1L,1800-103-5858,N/A,India,10016011003210,Valid,1,,Low,100
MTR Sambar Powder,Food,85,MTR Foods Pvt Ltd,2025-01,2026-07,200g,080-46730000,N/A,India,10013061000287,Valid,1,,Low,100
Amul Butter,Dairy,56,Gujarat Cooperative Milk Marketing Federation,2025-04,2025-10,500g,1800-258-3333,N/A,India,10011016001385,Valid,1,,Low,100
Haldiram Aloo Bhujia,Food,45,Haldiram Snacks Pvt Ltd,2025-02,2025-08,200g,0141-2210892,N/A,India,10012011001238,Valid,1,,Low,100
Britannia Good Day,Food,30,Britannia Industries Ltd,2025-03,2026-03,250g,1800-425-7002,N/A,India,10013061001574,Valid,1,,Low,100
Parle-G Biscuits,Food,10,Parle Products Pvt Ltd,2025-04,2026-04,80g,022-66916911,N/A,India,10015061000420,Valid,1,,Low,100
Dabur Honey,Food,299,Dabur India Ltd,2025-01,2027-01,500g,1800-103-1644,N/A,India,10015011006321,Valid,1,,Low,100
Kissan Mixed Fruit Jam,Food,125,Hindustan Unilever Ltd,2025-02,2026-08,500g,1800-102-2221,N/A,India,10015061000980,Valid,1,,Low,100
Maggi 2-Minute Noodles,Food,14,Nestle India Ltd,2025-03,2026-03,70g,1800-103-1947,N/A,India,10017011005890,Valid,1,,Low,100
Bournvita Health Drink,Food,450,Mondelez India Foods Pvt Ltd,2025-01,2026-07,500g,1800-226-7886,N/A,India,10015061001750,Valid,1,,Low,100
Surf Excel Detergent,FMCG,199,Hindustan Unilever Ltd,2025-02,2028-02,1kg,1800-102-2221,N/A,India,Valid,1,,Low,100,
Dettol Handwash,FMCG,99,Reckitt Benckiser India Pvt Ltd,2025-03,2027-03,200ml,0124-3988700,N/A,India,Valid,1,,Low,100,
Colgate MaxFresh,FMCG,85,Colgate-Palmolive India Ltd,2025-01,2027-06,150g,1800-225-4283,N/A,India,Valid,1,,Low,100,
Himalaya Face Wash,Cosmetics,199,Himalaya Drug Company,2025-04,2028-04,150ml,1800-425-8888,N/A,India,Valid,1,,Low,100,
Lakme Sunscreen,Cosmetics,350,Hindustan Unilever Ltd,2025-03,2027-09,50ml,1800-102-2221,N/A,India,Valid,1,,Low,100,
Boroplus Cream,Cosmetics,80,Emami Ltd,2025-02,2028-02,40ml,1800-345-3011,N/A,India,Valid,1,,Low,100,
Fake Oil,Food,,Unknown,,,,,,Unknown,Invalid,0,"MRP,Manufacturing Date,Expiry Date,Net Quantity,Customer Care,Country of Origin",Critical,0,
No Brand Rice,Food,40,,2025-01,2026-01,1kg,,N/A,India,Invalid,0,"Manufacturer,Customer Care",High,25,
Cheap Detergent,FMCG,20,,,2027-01,500g,,N/A,,Invalid,0,"Manufacturer,Manufacturing Date,Customer Care,Country of Origin",Critical,12,
